id,ime_barke,tip_barke,cena,dolzina,sirina,letnik,st_kabin,st_ur,drzava
1304,Azimut Atlantis 40,Hardtop,218000,12.6,3.9,2010,2,350,Italy
1305,Tony Giugliano 27 Amalfi,Sport Boat,68000,8.25,2.54,2005,1,403,Italy
1306,Sessa C35,Hardtop,210000,11.33,3.45,2017,2,395,Italy
1307,Sessa F42 - 2022,Flybridge,699000,13.1,3.9,2022,2,80,Italy
1308,Azimut Magellano 43,Flybridge,485000,12.96,4.4,2016,3,600,
1309,Atlantis 54,Motor Yacht,375000,16.68,4.5,2008,3,1690,Italy
131,Carnevali 145,Flybridge,389000,14.03,4.28,2016,3,420,Italy
1310,Cranchi Z 35,Motor Yacht,,9.99,3.53,2020,2,245,Italy
1311,Bruno Abbate Primatist 32,Motor Yacht,,9.45,2.73,1992,1,226,Italy
1312,Ranieri Shadow 30,Sport Boat,93000,9.3,2.86,2009,1,800,Italy
1313,Pershing 50',Hardtop,420000,15.23,4.38,2006,3,1400,
